AC,CL,DE,GA,ID,ML,NE,TP
PF00079.19,,Serpin (serine protease inhibitor),21.80; 21.80;,Serpin,370,,Domain
PF05540.10,,Serpulina hyodysenteriae variable surface protein,22.90; 22.90;,Serpulina_VSP,383,,Family
PF06031.12,,SERTA motif,25.00; 25.00;,SERTA,36,,Motif
PF00273.19,CL0282,Serum albumin family,32.50; 32.50;,Serum_albumin,176,,Domain
PF02403.21,CL0298,Seryl-tRNA synthetase N-terminal domain,27.90; 27.90;,Seryl_tRNA_N,108,,Domain
PF06821.12,CL0028,Serine hydrolase,20.60; 20.60;,Ser_hydrolase,171,,Domain
PF17107.4,CL0587,N-terminal domain on NACHT_NTPase and P-loop NTPases,24.70; 24.70;,SesA,122,,Family
PF17046.4,,SesB domain on fungal death-pathway protein,23.20; 22.10;,Ses_B,28,,Family
PF00856.27,,SET domain,21.00; 21.00;,SET,169,zf-MYND,Family
PF11767.7,CL0221,Histone lysine methyltransferase SET associated,24.10; 24.10;,SET_assoc,66,,Domain
PF08138.10,,Sex peptide (SP) family,25.00; 25.00;,Sex_peptide,55,,Family
PF06705.10,,SF-assemblin/beta giardin,30.00; 30.00;,SF-assemblin,247,,Family
PF16275.4,,Splicing factor 1 helix-hairpin domain,29.30; 29.30;,SF1-HH,113,,Domain
PF16835.4,,Pre-mRNA-splicing factor SF3a complex subunit 2 (Prp11),27.00; 27.00;,SF3A2,96,,Domain
PF16837.4,,"Pre-mRNA-splicing factor SF3A3, of SF3a complex, Prp9",26.50; 26.50;,SF3A3,77,,Domain
PF12108.7,,Splicing factor SF3a60 binding domain,22.20; 22.20;,SF3a60_bindingd,27,,Domain
PF08920.9,CL0462,Splicing factor 3B subunit 1,25.10; 25.10;,SF3b1,119,,Domain
PF07189.10,,Splicing factor 3B subunit 10 (SF3b10),18.50; 18.50;,SF3b10,78,,Family
PF08457.9,,Sfi1 spindle body protein,21.10; 21.10;,Sfi1,570,,Family
PF10638.8,,Spindle body associated protein C-terminus  ,20.80; 20.80;,Sfi1_C,105,,Domain
PF11139.7,CL0292,"Sap, sulfolipid-1-addressing protein",35.00; 35.00;,SfLAP,214,,Family
PF03749.12,CL0236,Sugar fermentation stimulation protein,25.00; 25.00;,SfsA,199,,Family
PF15210.5,,Surfactant-associated protein 2,27.00; 27.00;,SFTA2,59,,Family
PF08209.10,CL0361,Sgf11 (transcriptional regulation protein),26.40; 26.40;,Sgf11,33,,Family
PF15467.5,,Secretogranin-3,27.00; 27.00;,SGIII,451,,Family
PF08450.11,CL0186,SMP-30/Gluconolaconase/LRE-like region,26.10; 26.10;,SGL,246,,Family
PF17228.1,,Sulphur globule protein,26.70; 26.70;,SGP,97,,Family
PF12793.6,CL0123,Sugar transport-related sRNA regulator N-term,24.00; 24.00;,SgrR_N,115,,Family
PF15894.4,,Inhibitor of glucose uptake transporter SgrT,27.00; 27.00;,SgrT,49,,Family
PF05002.14,,SGS domain ,23.90; 23.90;,SGS,83,,Domain
PF07093.10,,SGT1 protein,30.00; 30.00;,SGT1,582,,Family
PF16546.4,,Homodimerisation domain of SGTA,26.80; 26.80;,SGTA_dimer,67,,Domain
PF01445.16,,Viral small hydrophobic protein,21.90; 21.90;,SH,57,,Family
PF00017.23,CL0541,SH2 domain,21.00; 21.00;,SH2,77,,Domain
PF14633.5,CL0541,SH2 domain,27.00; 27.00;,SH2_2,216,,Domain
PF16609.4,,SH3-RhoGEF linking unstructured region,26.60; 26.60;,SH3-RhoG_link,259,,Disordered
PF16618.4,,Linker region between SH3 and WW domains on ARHGAP12,25.00; 25.00;,SH3-WW_linker,198,,Disordered
PF04908.14,CL0172,"SH3-binding, glutamic acid-rich protein",21.00; 21.00;,SH3BGR,99,,Family
PF05276.13,,SH3 domain-binding protein 5 (SH3BP5),25.00; 25.00;,SH3BP5,231,,Family
PF00018.27,CL0010,SH3 domain,22.90; 22.90;,SH3_1,48,,Domain
PF07653.16,CL0010,Variant SH3 domain,21.80; 21.80;,SH3_2,55,,Domain
PF08239.10,CL0010,Bacterial SH3 domain,27.00; 27.00;,SH3_3,55,,Domain
PF06347.12,CL0010,Bacterial SH3 domain,20.60; 20.60;,SH3_4,56,,Domain
PF08460.9,CL0010,Bacterial SH3 domain,20.70; 20.70;,SH3_5,65,,Domain
PF12913.6,CL0010,SH3 domain (SH3b1 type),21.20; 21.20;,SH3_6,53,,Domain
PF12914.6,,SH3 domain of SH3b2 type,21.30; 21.30;,SH3_7,48,,Domain
PF13457.5,CL0010,SH3-like domain,21.00; 6.20;,SH3_8,76,,Domain
PF14604.5,CL0010,Variant SH3 domain,30.00; 30.00;,SH3_9,49,,Domain
PF14999.5,,"Shadow of prion protein, neuroprotective",27.00; 27.00;,Shadoo,133,,Family
PF11601.7,,"Shal-type voltage-gated potassium channels, N-terminal",23.00; 23.00;,Shal-type,28,,Domain
PF16764.4,CL0266,Sharpin PH domain,27.00; 27.00;,Sharpin_PH,121,,Domain
PF03983.11,,"SLA1 homology domain 1, SHD1 ",21.20; 21.20;,SHD1,67,,Domain
PF11435.7,,RNA binding protein She2p,25.00; 25.00;,She2p,201,,Family
PF17078.4,,SWI5-dependent HO expression protein 3,30.00; 30.00;,SHE3,228,,Coiled-coil
PF05546.10,,She9 / Mdm33 family,22.20; 22.20;,She9_MDM33,198,,Family
PF06128.10,,Shigella flexneri OspC protein,25.00; 25.00;,Shigella_OspC,292,,Family
PF01488.19,CL0063,Shikimate / quinate 5-dehydrogenase,24.30; 24.30;,Shikimate_DH,138,,Family
PF08501.10,CL0603,Shikimate dehydrogenase substrate binding domain,21.30; 21.30;,Shikimate_dh_N,83,,Domain
PF07004.11,,Sperm-tail PG-rich repeat,20.00; 9.10;,SHIPPO-rpt,31,,Repeat
PF13908.5,,Wnt and FGF inhibitory regulator,29.40; 29.40;,Shisa,190,,Family
PF01549.23,CL0213,ShK domain-like,20.90; 4.80;,ShK,38,,Domain
PF03865.12,CL0193,Haemolysin secretion/activation protein ShlB/FhaC/HecB,22.70; 22.70;,ShlB,312,,Family
PF00464.18,CL0061,Serine hydroxymethyltransferase,21.40; 21.40;,SHMT,399,,Domain
PF10516.8,CL0020,SHNi-TPR,20.70; 20.70;,SHNi-TPR,38,,Repeat
PF09851.8,,Short C-terminal domain,27.00; 15.30;,SHOCT,28,,Domain
PF03579.12,,Small hydrophobic protein,23.50; 23.50;,SHP,64,,Family
PF04925.14,,SHQ1 protein,20.80; 20.80;,SHQ1,176,,Family
PF06650.11,,SHR-binding domain of vacuolar-sorting associated protein 13,22.10; 22.10;,SHR-BD,271,,Family
PF08229.10,,ER membrane protein SH3 ,25.00; 25.00;,SHR3_chaperone,188,,Domain
PF02491.19,CL0319,SHS2 domain inserted in FTSA,25.40; 25.40;,SHS2_FTSA,79,,Domain
PF03876.16,CL0319,SHS2 domain found in N terminus of Rpb7p/Rpc25p/MJ0397,22.40; 22.40;,SHS2_Rpb7-N,70,,Domain
PF04917.11,,"Bacterial shufflon protein, N-terminal constant region",27.50; 27.50;,Shufflon_N,324,,Family
PF07557.10,,Shugoshin C terminus,23.30; 23.30;,Shugoshin_C,25,,Family
PF07558.10,,Shugoshin N-terminal coiled-coil region,30.00; 30.00;,Shugoshin_N,45,,Coiled-coil
PF17512.1,,Metapneumovirus Small hydrophobic protein,27.00; 27.00;,Sh_2,174,,Family
PF09032.10,,"Siah interacting protein, N terminal ",21.70; 21.70;,Siah-Interact_N,78,,Domain
PF09264.9,CL0004,"Vibrio cholerae sialidase, lectin insertion",25.00; 25.00;,Sial-lect-inser,197,,Domain
PF02973.15,CL0004,"Sialidase, N-terminal domain",20.50; 20.50;,Sialidase,189,,Domain
PF12135.7,,Sialidase enzyme penultimate C terminal domain,20.40; 20.40;,Sialidase_penC,25,,Domain
PF03482.12,,sic protein repeat,25.00; 25.00;,SIC,30,,Repeat
PF12887.6,CL0474,SICA extracellular alpha domain,21.70; 13.00;,SICA_alpha,185,,Domain
PF12878.6,CL0474,SICA extracellular beta domain,21.70; 13.00;,SICA_beta,169,,Domain
PF12879.6,,SICA C-terminal inner membrane domain ,21.90; 21.90;,SICA_C,137,,Domain
PF09119.9,,SicP binding,25.00; 25.00;,SicP-binding,84,,Domain
PF11778.7,,Septation initiation,25.00; 25.00;,SID,135,,Family
PF13965.5,CL0192,dsRNA-gated channel SID-1,28.70; 28.70;,SID-1_RNA_chan,606,,Family
PF17204.2,,Sid-5 family,27.00; 27.00;,Sid-5,76,,Family
PF12252.7,,Dot/Icm substrate protein,25.00; 25.00;,SidE,1435,,Family
PF14163.5,,Super-infection exclusion protein B,26.00; 26.00;,SieB,147,,Family
PF06767.10,,Sif protein,28.70; 28.70;,Sif,337,,Family
PF00158.25,CL0023,Sigma-54 interaction domain,20.20; 20.20;,Sigma54_activat,168,,Domain
PF14532.5,CL0023,Sigma-54 interaction domain,25.00; 25.00;,Sigma54_activ_2,138,,Domain
PF00309.19,,"Sigma-54 factor, Activator interacting domain (AID) ",23.80; 23.80;,Sigma54_AID,46,,Family
PF04963.12,CL0123,"Sigma-54 factor, core binding domain",21.90; 21.90;,Sigma54_CBD,179,,Domain
PF04552.12,CL0123,"Sigma-54, DNA binding domain",22.80; 22.80;,Sigma54_DBD,160,,Domain
PF07638.10,CL0123,ECF sigma factor,21.10; 21.10;,Sigma70_ECF,185,,Family
PF04546.12,CL0123,"Sigma-70, non-essential region",27.50; 27.50;,Sigma70_ner,204,,Domain
PF03979.13,,"Sigma-70 factor, region 1.1",22.50; 22.50;,Sigma70_r1_1,82,,Family
PF00140.19,,"Sigma-70 factor, region 1.2",21.30; 21.30;,Sigma70_r1_2,34,,Family
PF04542.13,CL0123,Sigma-70 region 2 ,20.20; 20.20;,Sigma70_r2,71,,Domain
PF04539.15,CL0123,Sigma-70 region 3,25.30; 25.30;,Sigma70_r3,78,,Family
PF04545.15,CL0123,"Sigma-70, region 4",24.10; 24.10;,Sigma70_r4,50,,Domain
PF08281.11,CL0123,"Sigma-70, region 4",25.70; 25.70;,Sigma70_r4_2,54,,Domain
PF02454.15,,Sigma 1s protein,20.10; 20.10;,Sigma_1s,116,,Family
PF03084.13,,Reoviral Sigma1/Sigma2 family,25.00; 25.00;,Sigma_1_2,418,,Family
PF13791.5,,Sigma factor regulator C-terminal,25.00; 25.00;,Sigma_reg_C,157,,Family
PF13800.5,,Sigma factor regulator N-terminal,26.30; 26.30;,Sigma_reg_N,90,,Family
PF05769.10,,SIKE family,24.30; 24.30;,SIKE,180,,Family
PF16782.4,,Nucleotide exchange factor SIL1,35.50; 35.50;,SIL1,290,,Family
PF03842.12,,Silicon transporter,25.00; 25.00;,Silic_transp,513,,Family
PF04402.13,,Protein of unknown function (DUF541),25.20; 25.20;,SIMPL,200,,Family
PF06621.11,,Single-minded protein C-terminus,21.50; 21.50;,SIM_C,294,,Family
PF05422.11,,Stress-activated map kinase interacting protein 1 (SIN1),27.50; 27.50;,SIN1,142,,Family
PF16979.4,CL0266,"SAPK-interacting protein 1 (Sin1), Pleckstrin-homology",27.00; 27.00;,SIN1_PH,110,,Family
PF16879.4,,C-terminal domain of Sin3a protein,26.80; 26.80;,Sin3a_C,286,,Family
PF08295.11,,Sin3 family co-repressor,25.00; 25.00;,Sin3_corepress,98,,Domain
PF03145.15,CL0389,Seven in absentia protein family,31.50; 31.50;,Sina,200,,Family
PF08671.9,,Anti-repressor SinI,31.40; 31.40;,SinI,28,,Domain
PF04801.12,,Sin-like protein conserved region,29.00; 29.00;,Sin_N,429,,Family
PF04954.12,CL0091,Siderophore-interacting protein,26.30; 26.30;,SIP,119,,Family
PF04938.11,,Survival motor neuron (SMN) interacting protein 1 (SIP1),20.40; 20.40;,SIP1,219,,Family
PF09052.9,,Salmonella invasion protein A,25.00; 25.00;,SipA,694,,Domain
PF05565.10,,Siphovirus Gp157,28.60; 28.60;,Sipho_Gp157,163,,Family
PF14594.5,,Siphovirus ReqiPepy6 Gp37-like protein,26.20; 26.20;,Sipho_Gp37,351,,Family
PF05709.10,,Phage tail protein,28.40; 28.40;,Sipho_tail,255,,Family
PF11603.7,,Regulatory protein Sir1,27.00; 27.00;,Sir1,120,,Domain
PF02146.16,CL0085,Sir2 family,21.60; 21.60;,SIR2,177,,Family
PF13289.5,CL0085,SIR2-like domain,24.50; 24.50;,SIR2_2,143,,Family
PF16991.4,,Sir4 SID domain,27.00; 27.00;,SIR4_SID,162,,Domain
PF10747.8,,Sporulation inhibitor of replication protein SirA ,26.00; 26.00;,SirA,139,,Family
PF04247.11,,"Invasion gene expression up-regulator, SirB",30.70; 30.70;,SirB,120,,Family
PF14823.5,,Sirohaem biosynthesis protein C-terminal,24.00; 24.00;,Sirohm_synth_C,68,,Domain
PF14824.5,,Sirohaem biosynthesis protein central,25.00; 25.00;,Sirohm_synth_M,28,,Domain
PF01380.21,CL0067,SIS domain,25.00; 25.00;,SIS,131,,Domain
PF13580.5,CL0067,SIS domain,27.00; 27.00;,SIS_2,138,,Domain
PF15330.5,,"SHP2-interacting transmembrane adaptor protein, SIT",27.60; 27.60;,SIT,115,,Family
PF05458.11,,Cd27 binding protein (Siva),22.90; 22.90;,Siva,173,,Family
PF16878.4,,"Transcriptional regulator, SIX1, N-terminal SD domain",27.40; 27.40;,SIX1_SD,110,,Domain
PF07160.11,,Spindle and kinetochore-associated protein 1 ,26.30; 26.30;,SKA1,240,,Family
PF16740.4,,Spindle and kinetochore-associated protein 2,29.80; 29.80;,SKA2,110,,Domain
PF08693.9,,Transmembrane alpha-helix domain,42.00; 42.00;,SKG6,38,,Domain
PF01202.21,CL0023,Shikimate kinase,21.50; 21.50;,SKI,158,,Domain
PF02731.14,,SKIP/SNW domain,25.00; 25.00;,SKIP_SNW,160,,Family
PF02437.16,,SKI/SNO/DAC family,20.00; 20.00;,Ski_Sno,108,,Family
PF03935.14,CL0004,Beta-glucan synthesis-associated protein (SKN1),30.00; 30.00;,SKN1,504,,Family
PF01466.18,,"Skp1 family, dimerisation domain",21.40; 21.40;,Skp1,48,,Domain
PF03931.14,CL0033,"Skp1 family, tetramerisation domain",21.90; 21.90;,Skp1_POZ,63,,Domain
PF03530.13,,Calcium-activated SK potassium channel,26.70; 26.70;,SK_channel,115,,Family
PF17618.1,,Uncharacterized Strongylid L4 protein,28.10; 28.10;,SL4P,88,,Family
PF03595.16,,Voltage-dependent anion channel,27.50; 27.50;,SLAC1,324,,Family
PF15301.5,,SLAIN motif-containing family,27.00; 27.00;,SLAIN,435,,Family
PF06214.10,,Signaling lymphocytic activation molecule (SLAM) protein,25.00; 25.00;,SLAM,125,,Family
PF03217.13,,SLAP domain,23.00; 15.20;,SLAP,55,,Domain
PF10531.8,CL0072,SLBB domain,27.00; 15.00;,SLBB,58,,Domain
PF15247.5,,Histone RNA hairpin-binding protein RNA-binding domain,27.00; 27.00;,SLBP_RNA_bind,70,,Family
PF03522.14,,Solute carrier family 12,27.00; 27.00;,SLC12,432,,Family
PF06027.11,CL0184,Solute carrier family 35,19.90; 19.90;,SLC35F,299,,Family
PF16028.4,,Solute carrier family 3 member 2 N-terminus,27.00; 27.00;,SLC3A2_N,77,,Family
PF08639.9,,DNA replication regulator SLD3,22.00; 22.00;,SLD3,539,,Family
PF05916.10,,GINS complex protein,21.00; 21.00;,Sld5,109,,Family
PF16922.4,,DNA replication complex GINS protein SLD5 C-terminus,27.00; 27.00;,SLD5_C,56,,Domain
PF12140.7,,SLED domain,25.00; 25.00;,SLED,112,,Domain
PF00395.19,,S-layer homology domain,20.80; 14.50;,SLH,45,,Family
PF09111.9,CL0123,SLIDE,24.80; 24.80;,SLIDE,114,,Domain
PF16818.4,,Protein SLM4,27.00; 27.00;,SLM4,161,,Domain
PF03843.12,,Outer membrane lipoprotein Slp family,20.60; 20.60;,Slp,153,,Family
PF07333.11,CL0054,S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP),22.70; 22.70;,SLR1-BP,58,,Domain
PF14611.5,CL0007,Mitochondrial inner-membrane-bound regulator,33.70; 33.70;,SLS,223,,Family
PF01464.19,CL0037,Transglycosylase SLT domain,21.30; 21.30;,SLT,117,,Domain
PF13406.5,CL0037,Transglycosylase SLT domain,24.30; 23.90;,SLT_2,291,,Domain
PF02258.15,CL0658,Shiga-like toxin beta subunit,21.10; 21.10;,SLT_beta,70,,Domain
PF14718.5,,Soluble lytic murein transglycosylase L domain,25.00; 25.00;,SLT_L,68,,Domain
PF11708.7,,Pre-mRNA splicing Prp18-interacting factor,27.90; 27.90;,Slu7,269,,Domain
PF09494.9,,Slx4 endonuclease,24.80; 24.80;,Slx4,61,,Domain
PF15341.5,,Ribosome biogenesis protein SLX9,27.00; 27.00;,SLX9,130,,Family
PF12485.7,,Lymphocyte signaling adaptor protein,25.00; 25.00;,SLY,156,,Family
PF04102.11,,SlyX,30.00; 30.00;,SlyX,67,,Family
PF14438.5,CL0527,Ataxin 2 SM domain,29.80; 29.80;,SM-ATX,81,,Domain
PF09057.9,,Second Mitochondria-derived Activator of Caspases,25.00; 25.00;,Smac_DIABLO,226,,Domain
PF17411.1,,Type II site-specific deoxyribonuclease ,27.50; 27.50;,SmaI,255,,Family
PF15127.5,,Small membrane A-kinase anchor protein,27.00; 27.00;,SmAKAP,98,,Family
PF15477.5,,Small acidic protein family,29.50; 29.50;,SMAP,77,,Family
PF16785.4,,Small metal-binding protein,29.00; 29.00;,SMBP,111,,Domain
PF06470.12,,SMC proteins Flexible Hinge Domain,22.50; 22.50;,SMC_hinge,117,,Domain
PF02463.18,CL0023,RecF/RecN/SMC N terminal domain,40.00; 40.00;,SMC_N,220,SMC_hinge,Domain
PF07574.12,,Nse1 non-SMC component of SMC5-6 complex,23.30; 23.30;,SMC_Nse1,193,,Family
PF02616.13,CL0157,Segregation and condensation protein ScpA,24.60; 24.60;,SMC_ScpA,241,,Family
PF04079.15,CL0123,Segregation and condensation complex subunit ScpB,27.40; 27.40;,SMC_ScpB,160,,Family
PF15785.4,,Serine/threonine-protein kinase smg-1,27.00; 27.00;,SMG1,627,,Family
PF03467.14,CL0221,Smg-4/UPF3 family,21.30; 21.30;,Smg4_UPF3,173,,Family
PF10220.8,,Smg8_Smg9 ,22.20; 22.20;,Smg8_Smg9,875,,Family
PF09346.9,CL0526,SMI1 / KNR4 family (SUKH-1),25.40; 25.40;,SMI1_KNR4,133,,Domain
PF17307.1,,Small integral membrane protein 3,25.00; 25.00;,Smim3,60,,Family
PF04802.14,,Component of IIS longevity pathway SMK-1,21.40; 21.40;,SMK-1,191,,Family
PF06003.11,CL0049,Survival motor neuron protein (SMN),21.60; 21.60;,SMN,264,,Family
PF12510.7,,Smoothelin cytoskeleton protein,21.70; 21.70;,Smoothelin,50,,Family
PF04927.11,,Seed maturation protein,21.00; 21.00;,SMP,59,,Family
PF04355.12,CL0320,SmpA / OmlA family,23.20; 23.20;,SmpA_OmlA,71,,Family
PF01668.17,,SmpB protein,20.20; 20.20;,SmpB,144,,Family
PF10144.8,CL0165,Bacterial virulence factor haemolysin,28.90; 28.90;,SMP_2,159,,Family
PF17047.4,CL0648,Synaptotagmin-like mitochondrial-lipid-binding domain,27.00; 27.00;,SMP_LBD,180,,Domain
PF01713.20,,Smr domain,21.40; 21.40;,Smr,79,,Family
PF15181.5,,Spermatid-specific manchette-related protein 1,27.00; 27.00;,SMRP1,262,,Family
PF16243.4,,Sm_like domain,29.40; 29.40;,Sm_like,85,,Domain
PF06695.10,,Putative small multi-drug export protein,30.60; 30.60;,Sm_multidrug_ex,121,,Family
PF14619.5,,"Snf2-ATP coupling, chromatin remodelling complex",27.00; 27.00;,SnAC,78,,Domain
PF14938.5,CL0020,"Soluble NSF attachment protein, SNAP",25.00; 25.00;,SNAP,282,,Domain
PF00835.18,,SNAP-25 family,25.00; 25.00;,SNAP-25,55,,Family
PF15497.5,,"snRNA-activating protein complex subunit 19, SNAPc subunit 19",27.00; 27.00;,SNAPc19,91,,Family
PF11035.7,,"Small nuclear RNA activating complex subunit 2, SNAP190 Myb",25.00; 25.00;,SnAPC_2_like,337,,Family
PF09808.8,,"Small nuclear RNA activating complex (SNAPc), subunit SNAP43",25.00; 25.00;,SNAPc_SNAP43,191,,Family
PF14712.5,,Snapin/Pallidin,29.60; 29.60;,Snapin_Pallidin,89,,Family
PF05739.18,,SNARE domain,26.50; 26.50;,SNARE,53,,Family
PF09335.10,,SNARE associated Golgi protein,32.70; 32.70;,SNARE_assoc,120,,Family
PF00565.16,CL0049,Staphylococcal nuclease homologue,21.00; 21.00;,SNase,108,,Domain
PF16700.4,,Synphilin-1 alpha-Synuclein-binding domain,27.00; 27.00;,SNCAIP_SNCA_bd,46,,Domain
PF00209.17,CL0062,Sodium:neurotransmitter symporter family,19.70; 19.70;,SNF,523,,Family
PF08455.9,,Bacterial SNF2 helicase associated,25.90; 25.90;,SNF2_assoc,372,,Family
PF00176.22,CL0023,SNF2 family N-terminal domain,23.90; 23.90;,SNF2_N,350,Bromodomain,Family
PF04855.11,,SNF5 / SMARCB1 / INI1,21.80; 21.80;,SNF5,237,,Family
PF03357.20,CL0235,Snf7,24.10; 24.10;,Snf7,173,,Family
PF09051.9,,Stannin cytoplasmic,25.00; 25.00;,SNN_cytoplasm,26,,Domain
PF09050.9,,Stannin unstructured linker,25.00; 25.00;,SNN_linker,26,,Domain
PF09049.9,,Stannin transmembrane,25.00; 25.00;,SNN_transmemb,32,,Domain
PF01174.18,CL0014,SNO glutamine amidotransferase family,21.60; 21.60;,SNO,188,,Domain
PF07366.11,CL0051,SnoaL-like polyketide cyclase,28.40; 28.40;,SnoaL,126,,Domain
PF12680.6,CL0051,SnoaL-like domain,27.00; 27.00;,SnoaL_2,102,,Domain
PF13474.5,CL0051,SnoaL-like domain,21.90; 21.90;,SnoaL_3,121,,Domain
PF13577.5,CL0051,SnoaL-like domain,21.80; 21.80;,SnoaL_4,127,,Domain
PF07192.10,,SNURF/RPN4 protein,25.00; 25.00;,SNURF,70,,Family
PF11538.7,,Snurportin1,20.80; 20.80;,Snurportin1,41,,Family
PF16533.4,,STIM1 Orai1-activating region,25.00; 25.00;,SOAR,101,,Domain
PF15279.5,,Sine oculis-binding protein,27.10; 27.10;,SOBP,323,,Family
PF16855.4,,Small outer capsid protein,27.00; 27.00;,Soc,74,,Domain
PF12610.7,,Suppressor of cytokine signalling,23.50; 23.50;,SOCS,59,,Family
PF07525.15,CL0642,SOCS box,21.70; 21.70;,SOCS_box,35,,Domain
PF16848.4,,"Substrate of the Dot/Icm secretion system, putative",25.00; 25.00;,SoDot-IcmSS,178,,Domain
PF00080.19,,Copper/zinc superoxide dismutase (SODC),24.30; 24.30;,Sod_Cu,142,,Domain
PF02777.17,,"Iron/manganese superoxide dismutases, C-terminal domain",20.90; 20.90;,Sod_Fe_C,102,,Domain
PF00081.21,,"Iron/manganese superoxide dismutases, alpha-hairpin domain",21.10; 21.10;,Sod_Fe_N,82,,Domain
PF09055.10,,Nickel-containing superoxide dismutase,25.00; 25.00;,Sod_Ni,127,,Domain
PF04158.13,,Sof1-like domain ,25.00; 25.00;,Sof1,87,,Family
PF10428.8,,RAM signalling pathway protein,26.90; 26.90;,SOG2,507,,Family
PF11365.7,,Protein SOGA ,31.10; 31.10;,SOGA,95,,Family
PF03619.15,,Organic solute transporter Ostalpha,24.90; 24.90;,Solute_trans_a,264,,Family
PF01033.16,,Somatomedin B domain,23.10; 23.10;,Somatomedin_B,41,,Family
PF03002.14,,Somatostatin/Cortistatin family,20.30; 20.30;,Somatostatin,18,,Family
PF17081.4,,Suppressor of PMA 1-7 protein,27.00; 27.00;,SOP4,209,,Family
PF13981.5,,SopA-like central domain,27.00; 27.00;,SopA,127,,Domain
PF13979.5,,SopA-like catalytic domain,25.00; 25.00;,SopA_C,168,,Domain
PF11047.7,,Salmonella outer protein D,25.00; 25.00;,SopD,319,,Family
PF07487.12,,SopE GEF domain,20.00; 20.00;,SopE_GEF,165,,Domain
PF07682.10,CL0032,Sulphur oxygenase reductase,25.00; 25.00;,SOR,302,,Domain
PF02208.15,,Sorbin homologous domain,21.10; 21.10;,Sorb,47,,Family
PF09666.9,,Sororin protein,23.00; 23.00;,Sororin,153,,Family
PF04203.12,,Sortase family,21.40; 21.40;,Sortase,125,,Family
PF15902.4,CL0434,"Sortilin, neurotensin receptor 3,",33.00; 33.00;,Sortilin-Vps10,445,,Domain
PF15901.4,,"Sortilin, neurotensin receptor 3, C-terminal",27.00; 27.00;,Sortilin_C,171,,Domain
PF03700.12,,"Sorting nexin, N-terminal domain ",28.00; 28.00;,Sorting_nexin,128,,Family
PF01680.16,CL0036,SOR/SNZ family,21.90; 21.90;,SOR_SNZ,207,,Domain
PF15925.4,,SOSS complex subunit C,27.00; 27.00;,SOSSC,101,,Family
PF17079.4,,Male-specific protein scotti,27.00; 27.00;,SOTI,101,,Family
PF04832.11,CL0319,SOUL heme-binding protein,21.20; 21.20;,SOUL,171,,Family
PF12067.7,,Sox 17/18 central domain,25.00; 25.00;,Sox17_18_mid,50,,Family
PF04267.11,,"Sarcosine oxidase, delta subunit family ",20.10; 20.10;,SoxD,82,,Family
PF06525.10,CL0026,Sulfocyanin (SoxE) domain,20.60; 20.60;,SoxE,149,,Domain
PF04268.11,CL0289,"Sarcosine oxidase, gamma subunit family ",20.30; 20.30;,SoxG,147,,Family
PF12336.7,,SOX transcription factor,22.10; 22.10;,SOXp,90,,Family
PF13501.5,CL0503,Sulfur oxidation protein SoxY,28.10; 28.10;,SoxY,112,,Domain
PF08770.10,CL0159,Sulphur oxidation protein SoxZ,20.00; 20.00;,SoxZ,96,,Domain
PF12444.7,,Sox developmental protein N terminal ,23.10; 23.10;,Sox_N,77,,Family
PF14313.5,,N-terminal region of Paramyxovirinae phosphoprotein (P),21.30; 21.30;,Soyouz_module,58,,Domain
PF03014.13,CL0055,Structural protein 2,28.00; 28.00;,SP2,619,,Family
PF16504.4,,Putative virion membrane protein of plant and insect virus,25.00; 25.00;,SP24,124,,Family
PF07354.11,,Zona-pellucida-binding protein (Sp38),21.40; 21.40;,Sp38,177,,Family
PF08616.9,CL0330,Stabilization of polarity axis,20.80; 20.80;,SPA,114,,Family
PF15307.5,,Sperm acrosome-associated protein 7,27.00; 27.00;,SPACA7,108,,Family
PF15120.5,,Sperm acrosome-associated protein 9,25.00; 25.00;,SPACA9,164,,Family
PF16077.4,CL0079,Spaetzle,27.00; 27.00;,Spaetzle,96,,Family
PF02090.14,,Salmonella surface presentation of antigen gene type M protein,25.00; 25.00;,SPAM,140,,Family
PF02510.13,,Surface presentation of antigens protein,20.10; 20.10;,SPAN,336,,Family
PF07458.11,,"Sperm protein associated with nucleus, mapped to X chromosome",21.90; 21.90;,SPAN-X,95,,Family
PF10591.8,CL0220,Secreted protein acidic and rich in cysteine Ca binding region,21.40; 21.40;,SPARC_Ca_bdg,113,,Domain
PF11881.7,,C-terminal domain of SPAR protein,25.00; 25.00;,SPAR_C,243,,Family
PF13186.5,,Iron-sulfur cluster-binding domain,21.50; 21.50;,SPASM,68,,Domain
PF15212.5,,"Spermatogenesis-associated protein 19, mitochondrial",29.10; 29.10;,SPATA19,130,,Family
PF15743.4,,Spermatogenesis-associated C-terminus,27.00; 27.00;,SPATA1_C,152,,Family
PF15175.5,,Spermatogenesis-associated protein 24,27.00; 27.00;,SPATA24,182,,Family
PF15218.5,,Spermatogenesis-associated protein 25,27.00; 27.00;,SPATA25,228,,Family
PF15662.4,,Spermatogenesis-associated protein 3 family,27.00; 27.00;,SPATA3,191,,Family
PF14909.5,,Spermatogenesis-assoc protein 6,27.00; 27.00;,SPATA6,139,,Family
PF15824.4,,Spermatogenesis-associated protein 9,27.00; 27.00;,SPATA9,253,,Family
PF14649.5,,Spatacsin C-terminus,25.00; 25.00;,Spatacsin_C,299,,Family
